site,cluster,plot,depthcode,predsoc,predtn,predpH,predsand,predclay
lumo,5,5,subsoil,7.13,0.6523,6.34,11.82,65.15
lumo,5,6,topsoil,10.22,0.649,6.65,21.83,45.0
lumo,5,6,subsoil,6.83,0.4256,6.6,24.2,46.22
lumo,5,7,topsoil,10.06,0.7961,6.08,12.38,61.01
lumo,5,7,subsoil,6.95,0.5425,6.33,14.36,57.09
lumo,5,8,topsoil,8.82,0.5319,6.49,22.76,48.82
lumo,5,8,subsoil,6.74,0.4271,6.7,26.13,46.9
lumo,5,9,topsoil,10.39,0.8124,6.26,11.97,61.22
lumo,5,9,subsoil,6.42,0.4968,6.13,11.19,68.64
lumo,5,10,topsoil,11.14,0.8634,6.34,10.92,64.69
lumo,5,10,subsoil,7.9,0.6768,6.46,10.82,65.12
lumo,6,1,topsoil,9.52,0.5851,5.98,25.31,49.84
lumo,6,1,subsoil,8.73,0.4327,6.19,23.94,50.63
lumo,6,2,topsoil,6.91,0.5188,5.86,25.8,46.94
lumo,6,2,subsoil,9.05,0.5141,6.2,24.59,53.15
lumo,6,3,topsoil,9.87,0.6249,6.25,21.34,50.04
lumo,6,3,subsoil,7.61,0.4666,6.38,23.93,49.06
lumo,6,4,topsoil,8.36,0.5985,6.59,28.79,44.66
lumo,6,4,subsoil,6.93,0.4249,7.05,22.89,50.16
lumo,6,5,topsoil,9.33,0.6577,6.59,24.39,46.85
lumo,6,5,subsoil,6.19,0.4657,6.99,20.89,55.83
lumo,6,6,topsoil,9.01,0.6176,6.69,23.08,44.86
lumo,6,6,subsoil,6.31,0.4707,6.96,19.2,54.38
lumo,6,7,topsoil,7.33,0.5458,6.18,27.8,39.45
lumo,6,7,subsoil,8.47,0.4937,6.49,25.59,45.49
lumo,6,8,topsoil,7.96,0.6088,6.41,29.63,38.47
lumo,6,8,subsoil,6.88,0.5397,6.83,18.8,55.17
lumo,6,9,topsoil,9.46,0.5319,6.24,26.79,44.57
lumo,6,9,subsoil,7.98,0.4367,6.14,26.31,45.96
lumo,6,10,topsoil,10.12,0.6709,6.59,20.61,51.78
lumo,6,10,subsoil,8.67,0.418,6.85,24.98,49.99
lumo,7,1,topsoil,9.87,0.5814,6.52,19.36,52.78
lumo,7,1,subsoil,8.79,0.4592,6.95,20.95,52.63
lumo,7,2,topsoil,9.89,0.6244,6.44,24.68,50.07
lumo,7,2,subsoil,6.38,0.3906,6.84,27.76,38.16
lumo,7,3,topsoil,8.71,0.528,6.31,28.63,42.94
lumo,7,3,subsoil,7.28,0.389,6.32,30.97,48.12
lumo,7,5,topsoil,10.09,0.5779,6.45,24.85,50.0
lumo,7,5,subsoil,7.8,0.4146,6.71,21.62,53.65
lumo,7,6,topsoil,8.17,0.5014,5.94,29.48,41.18
lumo,7,6,subsoil,6.92,0.4336,5.81,20.69,57.07
lumo,7,7,topsoil,8.83,0.5538,6.34,22.45,46.61
lumo,7,7,subsoil,6.44,0.4432,6.23,23.08,48.57
lumo,7,8,topsoil,10.01,0.5739,6.49,23.48,50.28
lumo,7,8,subsoil,7.67,0.4433,6.11,22.09,52.17
lumo,7,9,topsoil,9.57,0.6516,6.54,16.01,57.78
lumo,7,9,subsoil,9.43,0.5612,7.4,19.88,57.33
lumo,7,10,topsoil,9.89,0.5999,6.69,23.24,53.74
lumo,7,10,subsoil,6.99,0.5227,6.46,17.32,62.94
lumo,7,14,topsoil,9.01,0.6159,5.94,27.04,45.72
lumo,7,14,subsoil,6.38,0.4493,6.26,30.54,44.76
lumo,8,1,topsoil,10.02,0.6097,7.09,32.01,44.93
lumo,8,1,subsoil,7.43,0.4229,6.44,25.99,51.43
lumo,8,2,topsoil,9.5,0.6883,6.3,24.06,49.53
lumo,8,2,subsoil,8.19,0.5076,6.03,17.47,60.24
lumo,8,3,topsoil,10.26,0.7821,6.48,16.85,60.16
lumo,8,3,subsoil,7.62,0.6007,6.78,19.39,57.67
lumo,8,4,topsoil,9.18,0.642,6.24,23.8,46.04
lumo,8,4,subsoil,6.62,0.4733,7.23,24.12,43.9
lumo,8,5,topsoil,8.79,0.6717,6.54,24.85,53.96
lumo,8,5,subsoil,7.05,0.5007,6.97,22.11,54.47
lumo,8,6,topsoil,10.4,0.7912,6.43,15.91,59.99
lumo,8,6,subsoil,8.54,0.6443,6.4,22.01,60.54
lumo,8,7,topsoil,8.77,0.6067,6.23,26.74,49.58
lumo,8,7,subsoil,5.21,0.5272,5.97,25.39,50.87
lumo,8,8,topsoil,8.74,0.5734,6.31,28.33,48.0
lumo,8,8,subsoil,4.94,0.382,5.94,32.47,43.31
lumo,8,9,topsoil,7.24,0.6236,6.52,24.07,51.05
lumo,8,9,subsoil,4.96,0.3674,6.18,27.9,50.46
lumo,8,12,topsoil,7.81,0.458,6.77,25.63,53.5
lumo,8,12,subsoil,6.8,0.6154,6.31,34.24,37.72
lumo,9,1,topsoil,5.83,0.6127,6.35,22.68,47.23
lumo,9,1,subsoil,9.24,0.6369,6.63,26.37,47.2
lumo,9,2,topsoil,6.55,0.6009,6.08,37.41,41.4
lumo,9,2,subsoil,8.26,0.4965,6.26,22.41,54.96
lumo,9,3,topsoil,5.17,0.4985,6.11,37.49,38.48
lumo,9,3,subsoil,5.65,0.4445,6.47,26.39,50.27
lumo,9,4,topsoil,7.23,0.6469,5.79,28.99,43.9
lumo,9,4,subsoil,6.93,0.391,6.37,33.45,52.38
lumo,9,5,topsoil,7.02,0.6661,6.0,31.79,45.04
lumo,9,5,subsoil,6.73,0.4103,6.17,34.89,50.54
lumo,9,6,topsoil,8.11,0.5582,6.07,29.19,54.2
lumo,9,6,subsoil,6.78,0.3666,6.26,29.58,53.28
lumo,9,7,topsoil,6.27,0.5859,6.04,37.32,36.03
lumo,9,7,subsoil,4.71,0.3808,5.9,35.99,43.29
lumo,9,8,topsoil,9.06,0.6348,6.09,32.91,44.69
lumo,9,8,subsoil,6.51,0.3493,6.25,40.03,46.07
lumo,9,9,topsoil,8.4,0.6185,6.85,32.9,35.98
lumo,9,9,subsoil,6.54,0.5382,7.19,29.29,43.85
lumo,9,10,topsoil,7.97,0.5262,6.32,30.72,48.32
lumo,9,10,subsoil,5.25,0.3459,6.48,40.36,45.38
lumo,10,2,topsoil,9.59,0.6642,6.74,31.09,36.78
lumo,10,2,subsoil,5.23,0.357,6.01,33.3,40.4
lumo,10,4,topsoil,7.35,0.6982,6.55,35.09,35.23
lumo,10,4,subsoil,6.04,0.4007,6.36,32.01,52.07
lumo,10,5,topsoil,8.53,0.6568,6.52,29.73,39.7
lumo,10,5,subsoil,8.01,0.515,6.61,25.81,52.32
lumo,10,6,topsoil,6.16,0.5969,6.11,32.94,39.09
lumo,10,6,subsoil,5.98,0.3575,6.44,24.45,53.57
lumo,10,8,topsoil,6.36,0.5772,6.27,42.47,36.65
lumo,10,8,subsoil,7.02,0.3732,6.67,32.35,48.27
lumo,10,9,topsoil,6.74,0.6091,6.22,39.16,36.15
lumo,10,9,subsoil,6.82,0.4863,6.4,24.48,51.81
lumo,10,10,topsoil,5.52,0.5713,6.12,42.23,38.2
lumo,10,10,subsoil,6.17,0.3838,6.67,37.57,46.38
lumo,10,11,topsoil,6.2,0.6407,6.21,34.09,43.36
lumo,10,11,subsoil,5.01,0.4358,6.0,34.81,47.92
lumo,10,12,topsoil,10.1,0.6824,6.9,27.7,48.17
lumo,10,12,subsoil,5.13,0.4525,6.26,39.84,36.21
lumo,10,13,topsoil,8.22,0.6486,6.19,30.8,41.56
lumo,10,13,subsoil,5.32,0.5121,6.61,26.65,47.48
lumo,11,1,topsoil,8.89,0.6709,6.23,33.76,40.67
lumo,11,1,subsoil,5.04,0.4549,5.85,39.92,39.09
lumo,11,2,topsoil,9.89,0.6163,6.38,24.76,49.62
lumo,11,2,subsoil,5.44,0.4713,5.77,40.51,42.4
lumo,11,3,topsoil,9.75,0.63,6.48,27.98,47.03
lumo,11,3,subsoil,5.08,0.4998,5.87,30.71,44.37
lumo,11,4,topsoil,9.43,0.6477,6.41,29.45,45.03
lumo,11,4,subsoil,6.36,0.4185,6.56,38.21,41.59
lumo,11,5,topsoil,7.06,0.5809,5.91,40.51,43.0
lumo,11,5,subsoil,5.9,0.4499,6.46,38.24,39.58
lumo,11,6,topsoil,8.73,0.6269,6.55,37.48,40.66
lumo,11,6,subsoil,5.18,0.4592,6.24,38.31,44.93
lumo,11,7,topsoil,7.26,0.6692,5.79,29.81,49.5
lumo,11,7,subsoil,5.95,0.3659,6.26,36.92,49.99
lumo,11,8,topsoil,8.6,0.5686,6.39,38.05,39.52
lumo,11,8,subsoil,5.03,0.46,5.86,36.6,43.75
lumo,11,9,topsoil,7.46,0.6149,6.45,42.12,31.91
lumo,11,9,subsoil,6.89,0.4055,7.05,32.95,45.01
lumo,11,10,topsoil,9.92,0.6257,6.39,27.85,49.66
lumo,11,10,subsoil,6.78,0.3733,6.42,28.93,49.53
lumo,12,1,topsoil,6.96,0.6252,6.54,31.0,41.2
lumo,12,1,subsoil,7.85,0.4161,6.44,31.26,49.86
lumo,12,2,topsoil,7.97,0.6779,6.44,33.5,43.08
lumo,12,2,subsoil,6.96,0.5151,6.23,28.17,50.13
lumo,12,3,topsoil,8.37,0.7051,6.31,26.73,48.29
lumo,12,3,subsoil,5.0,0.5112,5.75,37.68,45.25
lumo,12,4,topsoil,7.86,0.6718,6.21,33.36,43.44
lumo,12,4,subsoil,6.1,0.4675,6.11,31.83,54.22
lumo,12,5,topsoil,5.93,0.5958,6.0,34.96,44.64
lumo,12,5,subsoil,7.86,0.428,6.41,26.97,52.03
lumo,12,6,topsoil,7.82,0.7038,6.54,29.35,45.07
lumo,12,6,subsoil,8.04,0.6049,6.52,20.97,58.28
lumo,12,7,topsoil,8.21,0.6818,6.34,37.6,41.57
lumo,12,7,subsoil,6.34,0.3996,6.32,34.12,47.13
lumo,12,8,topsoil,10.92,0.8289,6.9,15.56,50.14
lumo,12,8,subsoil,8.91,0.4794,6.62,22.15,54.0
lumo,12,10,topsoil,9.9,0.64,6.31,19.32,51.61
lumo,12,10,subsoil,8.56,0.4666,7.04,23.01,51.1
lumo,12,13,topsoil,9.61,0.7511,7.13,16.55,43.3
lumo,12,13,subsoil,9.06,0.4998,6.54,22.58,53.64
lumo,13,1,topsoil,6.01,0.5356,6.54,38.02,28.45
lumo,13,1,subsoil,5.53,0.4138,6.78,35.46,42.13
lumo,13,2,topsoil,15.38,1.6408,8.01,38.9,22.67
lumo,13,2,subsoil,9.16,0.9321,8.35,34.4,24.72
lumo,13,3,topsoil,16.9,1.8267,7.76,37.69,22.9
lumo,13,3,subsoil,16.61,1.612,8.08,40.68,19.18
lumo,13,4,topsoil,12.26,0.8136,8.34,22.98,51.96
lumo,13,4,subsoil,7.03,0.5498,8.69,27.19,48.85
lumo,13,5,topsoil,14.54,1.2164,7.32,11.26,61.31
lumo,13,5,subsoil,12.95,1.1518,7.43,11.57,68.75
lumo,13,6,topsoil,9.15,0.6223,6.83,31.07,39.61
lumo,13,6,subsoil,8.53,0.5346,7.3,24.66,46.21
lumo,13,7,topsoil,10.28,1.077,7.54,28.3,33.97
lumo,13,7,subsoil,6.93,0.7333,8.24,28.68,39.16
lumo,13,8,topsoil,17.67,1.5268,8.15,37.4,24.22
lumo,13,8,subsoil,15.82,1.144,8.13,35.88,28.94
lumo,13,9,topsoil,9.38,0.6179,7.19,27.79,36.11
lumo,13,9,subsoil,7.98,0.5274,6.86,27.63,48.6
lumo,13,10,topsoil,8.78,0.646,7.07,36.13,38.51
lumo,13,10,subsoil,6.62,0.5479,7.09,35.42,41.24
lumo,14,1,topsoil,9.55,0.5681,6.58,26.36,42.25
lumo,14,1,subsoil,7.75,0.4622,6.79,21.85,58.22
lumo,14,3,topsoil,9.61,0.6205,6.57,19.47,51.81
lumo,14,3,subsoil,7.8,0.4294,6.44,21.73,58.81
lumo,14,4,topsoil,9.37,0.6177,6.29,21.58,50.05
lumo,14,4,subsoil,7.65,0.4471,6.29,21.43,55.5
lumo,14,6,topsoil,9.39,0.5401,6.56,30.56,42.4
lumo,14,6,subsoil,5.59,0.507,6.31,25.17,51.42
lumo,14,7,topsoil,9.04,0.5331,6.69,22.26,52.09
lumo,14,7,subsoil,5.88,0.4077,6.72,30.75,50.18
lumo,14,8,topsoil,8.72,0.626,6.28,24.05,50.63
lumo,14,8,subsoil,6.41,0.4086,6.37,22.88,56.59
lumo,14,9,topsoil,9.58,0.5884,6.73,23.93,51.02
lumo,14,9,subsoil,8.0,0.4456,6.6,27.31,49.8
lumo,14,10,topsoil,7.56,0.5098,6.38,32.63,44.33
lumo,14,10,subsoil,6.91,0.4122,6.64,26.12,49.66
lumo,14,14,topsoil,9.17,0.5429,7.05,21.04,52.05
lumo,14,14,subsoil,7.08,0.4331,6.81,20.89,53.93
lumo,14,15,topsoil,8.73,0.5726,7.2,30.73,39.52
lumo,14,15,subsoil,7.28,0.5033,7.5,32.72,48.78
lumo,15,1,topsoil,10.7,0.7031,6.88,22.62,50.14
lumo,15,1,subsoil,8.88,0.6452,6.67,17.46,58.8
lumo,15,2,topsoil,10.15,0.6429,6.88,20.76,50.93
lumo,15,2,subsoil,8.48,0.4415,6.58,21.07,54.31
lumo,15,3,topsoil,10.08,0.6293,6.69,22.88,49.96
lumo,15,3,subsoil,8.27,0.5525,6.49,25.01,51.41
lumo,15,4,topsoil,11.79,0.7196,7.22,34.01,43.53
lumo,15,4,subsoil,7.44,0.5357,6.98,24.95,52.86
lumo,15,5,topsoil,10.47,0.7229,7.03,20.87,49.8
lumo,15,5,subsoil,8.74,0.6967,6.63,15.65,60.54
lumo,15,6,topsoil,9.91,0.6025,6.33,14.78,52.96
lumo,15,6,subsoil,9.13,0.4602,6.36,24.75,55.01
lumo,15,7,topsoil,16.04,0.9049,6.65,17.49,47.64
lumo,15,7,subsoil,9.69,0.5878,6.85,28.1,47.16
lumo,15,8,topsoil,13.94,0.8305,7.13,15.11,55.26
lumo,15,8,subsoil,10.31,0.711,7.1,12.41,57.4
lumo,15,9,topsoil,10.41,0.6524,6.47,21.21,51.35
lumo,15,9,subsoil,7.72,0.4917,6.18,21.64,64.16
lumo,15,10,topsoil,10.45,0.7542,7.09,36.74,36.76
lumo,15,10,subsoil,8.29,0.6135,7.03,33.48,41.47
lumo,16,1,topsoil,10.24,1.0543,7.19,27.53,25.95
lumo,16,1,subsoil,9.91,0.8025,7.63,28.32,34.08
lumo,16,2,topsoil,14.53,1.2937,8.21,26.83,21.92
lumo,16,3,topsoil,13.0,1.2845,7.48,27.36,32.53
lumo,16,3,subsoil,11.2,0.7879,8.26,27.39,36.61
lumo,16,4,topsoil,15.32,1.2775,7.9,24.75,21.59
lumo,16,4,subsoil,9.92,1.0215,7.75,22.47,25.68
lumo,16,5,topsoil,18.96,1.9842,7.64,23.55,18.13
lumo,16,6,topsoil,13.09,1.2384,7.71,25.94,23.71
lumo,16,6,subsoil,13.09,1.2065,7.45,23.01,24.55
lumo,16,8,topsoil,11.62,0.8648,6.97,23.12,43.03
lumo,16,8,subsoil,8.91,0.6524,7.23,21.67,46.84
lumo,16,9,topsoil,10.85,0.7449,7.32,21.81,41.34
lumo,16,9,subsoil,9.0,0.6199,7.64,24.01,38.81
lumo,16,12,topsoil,8.95,1.1132,6.72,25.63,29.75
lumo,16,12,subsoil,9.07,0.8586,7.09,27.76,29.57
lumo,16,14,topsoil,30.51,2.2213,7.13,15.39,19.92
