"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80","Kalamba","4","13","37.5014","-1.82754","woodland","2023","yes","yes","uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80/supl4_tree_data[9]","3.2","5","Eucalyptus paniculata","N","4"
"uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80","Kalamba","4","13","37.5014","-1.82754","woodland","2023","yes","yes","uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80/supl4_tree_data[10]","3.2","7","Eucalyptus paniculata","N","4"
"uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80","Kalamba","4","13","37.5014","-1.82754","woodland","2023","yes","yes","uuid:c31d426d-33c1-4946-8d4a-1f0a4b919b80/supl4_tree_data[11]","3.3","5","Eucalyptus paniculata","N","4"
"uuid:a99cff15-4e89-4628-a864-7a8e24616232","Kalamba","4","5","37.4996","-1.8261","woodland","2023","yes","yes","uuid:a99cff15-4e89-4628-a864-7a8e24616232/supl4_tree_data[1]","24.4","32","Eucalyptus paniculata","N","4"
"uuid:a99cff15-4e89-4628-a864-7a8e24616232","Kalamba","4","5","37.4996","-1.8261","woodland","2023","yes","yes","uuid:a99cff15-4e89-4628-a864-7a8e24616232/supl4_tree_data[2]","24.3","29","Eucalyptus paniculata","N","4"
"uuid:a99cff15-4e89-4628-a864-7a8e24616232","Kalamba","4","5","37.4996","-1.8261","woodland","2023","yes","yes","uuid:a99cff15-4e89-4628-a864-7a8e24616232/supl4_tree_data[3]","29.6","36","Eucalyptus paniculata","N","4"
"uuid:a99cff15-4e89-4628-a864-7a8e24616232","Kalamba","4","5","37.4996","-1.8261","woodland","2023","yes","yes","uuid:a99cff15-4e89-4628-a864-7a8e24616232/supl4_tree_data[4]","31.4","115","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[1]","24.6","64","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[2]","23.6","83","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[3]","23.6","66","Eucalyptus paniculata","N","4"
